month,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
january,13.7,7.8,5.9,2.6,2.8,2.1,2.1,1.7,2.4,9.1,4.5,2.8,10.8,12.4,1.3,4.4,5.2,2.3,1.8,12.4,0.3,1.1,
february,12.9,5.7,7.2,1.6,2.1,1.4,2.9,1.0,3.9,8.6,4.3,3.2,9.6,11.1,1.8,3.8,5.7,1.8,1.5,9.5,0.1,3.3,
march,10.2,4.5,5.6,1.4,3.3,1.0,3.4,0.9,0.0,6.2,4.0,2.4,7.8,7.6,2.6,2.7,4.7,1.6,1.2,8.7,0.7,0.9,
april,14.7,6.4,8.3,2.9,2.7,2.0,2.5,2.4,2.2,10.0,4.7,3.1,11.6,12.0,2.8,6.1,4.8,1.5,2.3,12.2,0.1,2.4,
may,13.4,4.9,8.5,1.6,2.1,1.8,1.1,3.0,3.9,8.1,5.3,3.5,9.9,12.0,1.5,6.0,4.1,1.6,1.7,8.1,0.8,4.6,
june,13.8,5.8,8.0,2.3,2.3,2.1,2.9,2.1,2.1,9.5,4.3,2.9,10.9,10.8,3.0,4.9,4.1,3.3,1.5,10.3,0.9,2.9,
july,14.8,6.1,8.7,3.5,3.1,1.1,1.2,3.5,2.3,9.2,5.5,3.5,11.3,12.6,2.1,4.0,5.5,3.3,2.0,9.0,2.2,5.0,
august,17.1,8.3,8.8,1.1,4.1,2.5,3.8,2.4,3.2,11.7,5.4,3.9,13.2,14.6,2.4,4.9,6.2,3.7,2.3,11.4,0.7,5.2,
september,14.2,5.8,8.4,2.9,2.2,1.7,2.1,2.1,3.1,9.1,5.1,3.7,10.5,10.3,3.9,2.8,5.4,3.6,2.3,9.7,0.7,3.7,
october,13.3,6.3,7.0,2.9,2.6,1.6,2.2,2.0,1.9,7.9,5.4,3.5,9.8,11.4,1.9,4.4,3.9,2.8,2.2,8.0,1.6,3.9,
november,10.7,4.3,6.4,1.5,2.2,1.0,2.0,1.6,2.4,7.0,3.6,2.7,8.0,9.1,1.6,3.1,3.7,2.0,1.8,5.3,1.2,4.2,
december,14.8,6.9,7.9,2.3,3.0,1.6,2.5,2.3,3.1,9.4,5.5,3.1,11.7,12.1,2.7,4.1,4.6,4.1,2.0,8.4,1.7,5.3,
